Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
Ary,--,Pegi 12,Monster Games,,Plataformas,Nintendo DS,,,,,,,,,,
Armillo,8.6,Pegi 7,Bethesda Softworks,,Acción,Nintendo 3DS,,,,,,,,,,
Arena of Valor,--,Pegi 12,id Software,,Shooter en 1ª persona (FPS),Wii U,,,,,,,,,,
ARK: Survival Evolved,2,Pegi 16,Retro Studios,,Plataformas,SWITCH,,,,,,,,,,
Blood will be Spilled,--,Pegi 12,Rareware,,Plataformas,SWITCH,,,,,,,,,,
Armello,7.5,Pegi 7,Soedesco,,Acción-Estrategia-Shooter en 1ª persona (FPS),SWITCH,,,,,,,,,,
Blocky Bot,6.5,Pegi 3,Namco Bandai,,Minijuegos,Nintendo 3DS,,,,,,,,,,
Bloodstained: Ritual of the Night,--,Pegi 12,Larian Studios,,Aventura-Rol (RPG),Precio de lanzamiento:,,,,,,,,,,
Bleed Complete Bundle,--,Pegi 12,"Avalanche Software,Ninja Theory, Studio Gobo, Sumo Digital, United Front Games",,Acción-Aventura,SWITCH,,,,,,,,,,
BlazeRush,7,Pegi 7,"Konami Digital Entertainment, Inc",,Acción-Plataformas,SWITCH,,,,,,,,,,
DreamWorks Dragons: Dawn of New Riders,4.8,Pegi 7,System 3,,Estrategia,SWITCH,,,,,,,,,,
Dragon’s Dogma: Dark Arisen,8.9,Pegi 18,SQUARE ENIX,,Rol (RPG),SWITCH,,,,,,,,,,
Dragon Quest Builders,8.5,Pegi 7,Ubisoft Montreal,,Plataformas-Puzle,Wii U,,,,,,,,,,
DRAGON BALL FighterZ,9,Pegi 12,Eden Industries,,Rol (RPG),Nintendo 3DS,,,,,,,,,,
Dragon Marked for Death: Héroes de Vanguardia,7,Pegi 16,Nintendo,,Plataformas,SWITCH,,,,,,,,,,
Dragon Ball Z: Extreme Butoden,6.5,Pegi 12,SaltCastleStudio,,Acción-Fiesta-Lucha,Nintendo 3DS,,,,,,,,,,
Dragalia Lost,--,Pegi 12,SEGA Europe Limited,,Acción-Aventura,Nintendo 3DS,,,,,,,,,,
Doshin The Giant,7,Pegi 3,KnapNok Games & Nifflas' Games,,Aventura-Puzle,Nintendo 3DS,,,,,,,,,,
Dr. Mario: Miracle Cure,7.5,Pegi 3,Microids,,Aventura,Precio de lanzamiento:,,,,,,,,,,
DOOM 64,--,Pegi 16,CORECELL,,Acción-Aventura,Nintendo DS,,,,,,,,,,
Donkey Kong Country Returns 3D,9,Pegi 3,Makoto Sanada,,Aventura-Rol (RPG),Nintendo 3DS,,,,,,,,,,
DOOM 64,--,Pegi 16,Soedesco,,Acción-Aventura-Puzle,Wii U,,,,,,,,,,
Doom,8.5,Pegi 18,Nintendo,,Minijuegos-Otros,Nintendo 3DS,,,,,,,,,,
Donkey Kong Country: Tropical Freeze,9,Pegi 3,Rovio,,Puzle,Nintendo 3DS,,,,,,,,,,
Donkey Kong Country,--,Pegi 3,Lince Works,,Acción-Aventura-Plataformas,Precio de lanzamiento:,,,,,,,,,,
Dog Duty,--,Pegi 12,Acttil,,Estrategia-Fiesta-Tablero,Nintendo 64,,,,,,,,,,
Don’t Sink,--,Pegi 3,Extra Miles Studio,,Otros,Nintendo 3DS,,,,,,,,,,
